mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator__C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
8.476970195770264,0.01691412925720215,0.0761559009552002,0.0011610984802246094,0.03148911647956861,{'final_estimator__C': np.float64(0.03148911647956861)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.390610098838806,0.19323790073394775,0.13260900974273682,0.007851004600524902,6.351221010640703,{'final_estimator__C': np.float64(6.351221010640703)},0.638459071792405,0.7637950652772788,0.7011270685348419,0.0626679967424369,4
8.241905093193054,0.167106032371521,0.11338865756988525,0.0040084123611450195,0.8471801418819978,{'final_estimator__C': np.float64(0.8471801418819978)},0.601422034755368,0.7719119483941619,0.686666991574765,0.08524495681939692,49
8.165712594985962,0.441969633102417,0.14869940280914307,0.00999462604522705,0.24810409748678125,{'final_estimator__C': np.float64(0.24810409748678125)},0.601422034755368,0.7738796776346184,0.6876508561949932,0.08622882143962518,44
8.469004511833191,0.21019446849822998,0.1265789270401001,0.006232142448425293,0.004207988669606638,{'final_estimator__C': np.float64(0.004207988669606638)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.364649891853333,0.4391380548477173,0.0975874662399292,0.02456843852996826,0.004207053950287938,{'final_estimator__C': np.float64(0.004207053950287938)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
7.871307969093323,0.04066503047943115,0.1257411241531372,0.03150498867034912,0.0017073967431528124,{'final_estimator__C': np.float64(0.0017073967431528124)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.176498413085938,0.04244041442871094,0.14014601707458496,0.0045719146728515625,2.9154431891537547,{'final_estimator__C': np.float64(2.9154431891537547)},0.6088294421627756,0.7637950652772788,0.6863122537200272,0.07748281155725162,53
8.08939254283905,0.09126651287078857,0.153395414352417,0.0010585784912109375,0.2537815508265665,{'final_estimator__C': np.float64(0.2537815508265665)},0.601422034755368,0.7738796776346184,0.6876508561949932,0.08622882143962518,44
8.054420113563538,0.2216869592666626,0.13979291915893555,0.004637956619262695,0.679657809075816,{'final_estimator__C': np.float64(0.679657809075816)},0.601422034755368,0.7719119483941619,0.686666991574765,0.08524495681939692,49
8.275722026824951,0.5024938583374023,0.13976454734802246,0.004713535308837891,0.0012087541473056963,{'final_estimator__C': np.float64(0.0012087541473056963)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.537026047706604,0.32026588916778564,0.14878332614898682,0.0015386343002319336,7.579479953348009,{'final_estimator__C': np.float64(7.579479953348009)},0.6463955797289129,0.7637950652772788,0.7050953225030958,0.05869974277418294,1
8.07349407672882,0.43336594104766846,0.16791892051696777,0.006703853607177734,2.1368329072358767,{'final_estimator__C': np.float64(2.1368329072358767)},0.6088294421627756,0.7637950652772788,0.6863122537200272,0.07748281155725162,53
8.238842964172363,0.5110199451446533,0.13323962688446045,0.026085734367370605,0.0070689749506246055,{'final_estimator__C': np.float64(0.0070689749506246055)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.342122435569763,0.3869093656539917,0.15662550926208496,0.05151963233947754,0.005337032762603957,{'final_estimator__C': np.float64(0.005337032762603957)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.576088428497314,0.416365385055542,0.15686249732971191,0.0033872127532958984,0.00541524411940254,{'final_estimator__C': np.float64(0.00541524411940254)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.101690649986267,0.2698265314102173,0.1649000644683838,0.012310981750488281,0.016480446427978974,{'final_estimator__C': np.float64(0.016480446427978974)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.432939887046814,0.3725491762161255,0.15638399124145508,0.0033740997314453125,0.12561043700013558,{'final_estimator__C': np.float64(0.12561043700013558)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.411155343055725,0.1711055040359497,0.17374765872955322,0.007362484931945801,0.05342937261279776,{'final_estimator__C': np.float64(0.05342937261279776)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.073459148406982,0.16637086868286133,0.15716552734375,0.015299558639526367,0.014618962793704957,{'final_estimator__C': np.float64(0.014618962793704957)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.120776057243347,0.07929480075836182,0.15772879123687744,0.0025719404220581055,0.2801635158716261,{'final_estimator__C': np.float64(0.2801635158716261)},0.601422034755368,0.7738796776346184,0.6876508561949932,0.08622882143962518,44
9.13674795627594,0.15979492664337158,0.15246856212615967,0.0005165338516235352,0.003613894271216527,{'final_estimator__C': np.float64(0.003613894271216527)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.942288994789124,0.004536032676696777,0.14395511150360107,0.01508796215057373,0.01474275315991467,{'final_estimator__C': np.float64(0.01474275315991467)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
9.231943964958191,0.37991583347320557,0.1461946964263916,0.010461568832397461,0.029204338471814112,{'final_estimator__C': np.float64(0.029204338471814112)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
8.33009648323059,0.17235255241394043,0.1538158655166626,0.028531908988952637,0.06672367170464207,{'final_estimator__C': np.float64(0.06672367170464207)},0.601422034755368,0.7922779460328868,0.6968499903941274,0.09542795563875939,7
