mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.03795349597930908,0.003735661506652832,0.0016410350799560547,4.00543212890625e-05,0.6,0.1,0.05,3,1,227,2.0,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 227, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5084361229872065,0.7250911714548078,0.6167636472210072,0.10832752423380065,40
0.05774378776550293,0.002410888671875,0.0016765594482421875,5.340576171875e-05,0.8,0.0,0.1,4,5,773,0.5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 773, 'reg_lambda': 0.5, 'subsample': 1.0}",0.48212492510738125,0.7276515151515153,0.6048882201294483,0.12276329502206701,46
0.05615091323852539,0.004327058792114258,0.001680612564086914,3.0517578125e-05,0.8,0.3,0.05,2,5,661,2.0,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 661, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5084361229872065,0.6960463991561412,0.6022412610716739,0.09380513808446733,47
0.0534055233001709,0.007903575897216797,0.0016883611679077148,1.6570091247558594e-05,0.6,0.1,0.05,4,3,592,2.0,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 592, 'reg_lambda': 2.0, 'subsample': 1.0}",0.5623157219648447,0.7322229943969075,0.6472693581808762,0.08495363621603141,10
0.05902457237243652,0.0007336139678955078,0.002854466438293457,0.0011445283889770508,0.8,0.1,0.1,2,5,774,2.0,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 774, 'reg_lambda': 2.0, 'subsample': 0.6}",0.48126997033085783,0.5404010695187165,0.5108355199247872,0.02956554959392932,58
0.05253100395202637,0.006428956985473633,0.0024720430374145508,0.0007530450820922852,0.6,0.1,0.01,4,5,370,0.5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 370, 'reg_lambda': 0.5, 'subsample': 0.6}",0.5081209969367864,0.7544300144300145,0.6312755056834004,0.12315450874661404,28
0.056830644607543945,0.0005774497985839844,0.0026159286499023438,0.0009071826934814453,1.0,0.3,0.05,3,10,777,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 777, 'reg_lambda': 1.0, 'subsample': 0.6}",0.47686645808420836,0.5048844908414286,0.4908754744628185,0.014009016378610128,60
0.03376591205596924,0.00575101375579834,0.0015240907669067383,2.491474151611328e-05,0.8,0.0,0.01,3,10,227,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 227, 'reg_lambda': 1.0, 'subsample': 0.8}",0.45950988582567526,0.7342488095416655,0.5968793476836703,0.13736946185799512,49
0.05352306365966797,0.009264945983886719,0.002824544906616211,0.0011484622955322266,1.0,0.1,0.05,5,1,430,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 430, 'reg_lambda': 1.0, 'subsample': 0.6}",0.5024837420348256,0.7960559861745633,0.6492698641046944,0.14678612206986885,8
0.06296348571777344,0.0012505054473876953,0.00215756893157959,0.0005654096603393555,0.6,0.0,0.05,3,1,458,2.0,0.8,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 458, 'reg_lambda': 2.0, 'subsample': 0.8}",0.5052615198126034,0.7589295552931917,0.6320955375528976,0.12683401774029418,26
0.07831847667694092,0.00011360645294189453,0.0016589164733886719,7.867813110351562e-06,1.0,0.0,0.02,2,1,433,2.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 433, 'reg_lambda': 2.0, 'subsample': 1.0}",0.5030564627055855,0.7996654860291224,0.6513609743673539,0.14830451166176845,7
0.05268299579620361,0.00040400028228759766,0.001694798469543457,3.159046173095703e-05,0.8,0.0,0.1,2,3,696,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 696, 'reg_lambda': 1.0, 'subsample': 0.8}",0.5335839598997494,0.8197000368053,0.6766419983525247,0.14305803845277532,1
0.04233253002166748,0.005091547966003418,0.0027719736099243164,0.001134037971496582,1.0,0.1,0.05,2,1,280,2.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 280, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5024837420348256,0.8067361930998296,0.6546099675673276,0.152126225532502,6
0.03507709503173828,0.0010330677032470703,0.0015468597412109375,7.796287536621094e-05,0.8,0.1,0.1,3,5,424,0.5,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 424, 'reg_lambda': 0.5, 'subsample': 1.0}",0.48212492510738125,0.7592027417027417,0.6206638334050615,0.13853890829768023,37
0.1170123815536499,0.03530848026275635,0.0017088651657104492,3.3974647521972656e-05,0.8,0.1,0.01,5,3,615,2.0,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 615, 'reg_lambda': 2.0, 'subsample': 1.0}",0.5524391787549682,0.7200632700632701,0.6362512244091192,0.08381204565415096,23
0.10025346279144287,0.019034266471862793,0.001676321029663086,7.62939453125e-06,1.0,0.3,0.01,4,3,479,0.5,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 479, 'reg_lambda': 0.5, 'subsample': 0.8}",0.5024837420348256,0.7765079365079366,0.6394958392713811,0.1370120972365555,19
0.03293037414550781,0.0051805973052978516,0.0015431642532348633,5.996227264404297e-05,0.8,0.1,0.05,4,10,343,0.5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 343, 'reg_lambda': 0.5, 'subsample': 0.6}",0.49873547505126453,0.5028318791631485,0.5007836771072065,0.002048202055942,59
0.04468822479248047,0.005867481231689453,0.001645207405090332,2.8014183044433594e-05,1.0,0.1,0.1,2,5,602,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 602, 'reg_lambda': 1.0, 'subsample': 1.0}",0.48212492510738125,0.7175421800421801,0.5998335525747807,0.11770862746739941,48
0.05129647254943848,0.011628389358520508,0.0016179084777832031,9.202957153320312e-05,1.0,0.3,0.1,5,5,688,0.5,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 688, 'reg_lambda': 0.5, 'subsample': 1.0}",0.43543581175160123,0.7250757575757576,0.5802557846636794,0.14481997291207818,52
0.07712459564208984,0.007955312728881836,0.0019423961639404297,0.00025153160095214844,0.8,0.0,0.05,5,1,672,1.0,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 672, 'reg_lambda': 1.0, 'subsample': 1.0}",0.521574981224104,0.7558286158286158,0.6387017985263599,0.11712681730225594,20
0.04551661014556885,0.010010361671447754,0.0016524791717529297,7.3909759521484375e-06,1.0,0.1,0.02,4,5,343,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 343, 'reg_lambda': 1.0, 'subsample': 0.6}",0.5120991266502102,0.7296645021645022,0.6208818144073562,0.108782687757146,36
0.09927558898925781,0.019968509674072266,0.002883434295654297,0.0011515617370605469,0.6,0.1,0.01,5,3,652,0.5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 652, 'reg_lambda': 0.5, 'subsample': 1.0}",0.5415611678769573,0.7196894015075833,0.6306252846922703,0.08906411681531301,29
0.07927095890045166,0.014350056648254395,0.002629399299621582,0.0009826421737670898,1.0,0.0,0.01,4,5,407,2.0,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 407, 'reg_lambda': 2.0, 'subsample': 0.8}",0.5274837420348257,0.7831945831945832,0.6553391626147045,0.12785542057987875,5
0.05887448787689209,0.009536385536193848,0.0016726255416870117,4.947185516357422e-05,0.6,0.3,0.01,5,10,621,1.0,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 621, 'reg_lambda': 1.0, 'subsample': 1.0}",0.4777923840101343,0.7449603174603175,0.6113763507352259,0.13358396672509162,42
0.05541372299194336,0.011583566665649414,0.0028629302978515625,0.0012271404266357422,0.8,0.0,0.05,2,1,537,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 537, 'reg_lambda': 1.0, 'subsample': 0.8}",0.5024837420348256,0.7730656366031861,0.6377746893190058,0.13529094728418023,21
0.15634799003601074,0.039337158203125,0.0017354488372802734,9.5367431640625e-06,1.0,0.0,0.01,5,1,779,0.5,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 779, 'reg_lambda': 0.5, 'subsample': 0.8}",0.5024837420348256,0.760104204096299,0.6312939730655622,0.1288102310307367,27
0.022657036781311035,0.0037811994552612305,0.0026514530181884766,0.001104593276977539,0.6,0.3,0.05,2,10,232,2.0,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 10, 'n_estimators': 232, 'reg_lambda': 2.0, 'subsample': 1.0}",0.40251227196531636,0.7303138528138529,0.5664130623895847,0.16390079042426825,56
0.045174360275268555,0.010875463485717773,0.0015709400177001953,3.910064697265625e-05,0.8,0.3,0.02,3,3,237,1.0,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 237, 'reg_lambda': 1.0, 'subsample': 0.6}",0.5052615198126034,0.727973137973138,0.6166173288928707,0.11135580908026732,41
0.03838682174682617,0.0013298988342285156,0.002794027328491211,0.0011878013610839844,1.0,0.1,0.1,4,5,425,0.5,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 425, 'reg_lambda': 0.5, 'subsample': 0.8}",0.48349038970813996,0.7569524316263446,0.6202214106672423,0.13673102095910233,38
0.06534242630004883,0.0024514198303222656,0.0030465126037597656,0.0009324550628662109,0.6,0.3,0.1,2,1,715,2.0,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 715, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5364888255497131,0.7106290174471993,0.6235589214984563,0.0870700959487431,32
0.1095430850982666,0.012603044509887695,0.0016984939575195312,2.2411346435546875e-05,0.6,0.1,0.01,3,1,717,2.0,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 717, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5024837420348256,0.7810034410034411,0.6417435915191334,0.13925984948430775,16
0.05080056190490723,0.0059053897857666016,0.002774953842163086,0.0010750293731689453,0.6,0.0,0.01,3,1,298,0.5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 298, 'reg_lambda': 0.5, 'subsample': 1.0}",0.5059804393137726,0.7678059488404316,0.6368931940771021,0.13091275476332953,22
0.044741153717041016,0.0013928413391113281,0.001635432243347168,1.8477439880371094e-05,0.6,0.0,0.1,4,1,455,2.0,0.8,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 455, 'reg_lambda': 2.0, 'subsample': 0.8}",0.5471642068133296,0.7814697928334292,0.6643169998233793,0.11715279301004983,3
0.04810965061187744,0.0023223161697387695,0.0016379356384277344,2.86102294921875e-06,0.6,0.1,0.05,3,3,522,1.0,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 522, 'reg_lambda': 1.0, 'subsample': 0.8}",0.5120991266502102,0.7786823683562815,0.6453907475032459,0.13329162085303564,13
0.03483867645263672,0.008280277252197266,0.0015404224395751953,1.1444091796875e-05,1.0,0.1,0.05,3,5,354,1.0,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 354, 'reg_lambda': 1.0, 'subsample': 0.8}",0.5274837420348255,0.7448838184213679,0.6361837802280967,0.10870003819327118,24
0.0489804744720459,0.0030815601348876953,0.0016095638275146484,3.552436828613281e-05,0.8,0.0,0.1,2,1,445,2.0,0.6,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 445, 'reg_lambda': 2.0, 'subsample': 0.6}",0.5112956001113895,0.8145526410348546,0.662924120573122,0.15162852046173253,4
0.07310712337493896,0.012983918190002441,0.0016753673553466797,4.649162292480469e-05,0.8,0.3,0.02,4,3,607,0.5,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 607, 'reg_lambda': 0.5, 'subsample': 0.8}",0.5024837420348256,0.7322229943969074,0.6173533682158665,0.11486962618104091,39
0.03758251667022705,0.002280592918395996,0.001597762107849121,2.205371856689453e-05,1.0,0.0,0.1,2,10,520,1.0,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 10, 'n_estimators': 520, 'reg_lambda': 1.0, 'subsample': 0.8}",0.49685556483802096,0.7240104340104341,0.6104329994242275,0.11357743458620656,43
0.03804969787597656,0.007677555084228516,0.0015178918838500977,4.9948692321777344e-05,1.0,0.3,0.05,5,3,250,0.5,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 250, 'reg_lambda': 0.5, 'subsample': 0.8}",0.5024837420348256,0.7564639905548998,0.6294738662948627,0.12699012426003708,30
0.09652149677276611,0.01417839527130127,0.00179290771484375,0.00011014938354492188,1.0,0.1,0.01,3,3,769,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 769, 'reg_lambda': 1.0, 'subsample': 0.6}",0.5052615198126034,0.7106218024399843,0.6079416611262938,0.10268014131369048,45
0.04586589336395264,0.0011199712753295898,0.001582026481628418,3.1113624572753906e-05,0.8,0.1,0.05,3,5,643,0.5,0.6,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 643, 'reg_lambda': 0.5, 'subsample': 0.6}",0.5052615198126034,0.7387521124152141,0.6220068161139087,0.11674529630130537,34
0.04407191276550293,0.0027582645416259766,0.0015676021575927734,7.05718994140625e-05,0.6,0.0,0.05,5,3,549,2.0,1.0,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 549, 'reg_lambda': 2.0, 'subsample': 1.0}",0.5623157219648447,0.7360306360306361,0.6491731789977404,0.08685745703289571,9
0.05625736713409424,0.01155555248260498,0.0015575885772705078,3.5762786865234375e-06,1.0,0.0,0.02,5,3,319,2.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 319, 'reg_lambda': 2.0, 'subsample': 1.0}",0.521574981224104,0.7666764607941079,0.6441257210091059,0.12255073978500197,15
0.037158846855163574,0.005659937858581543,0.001703023910522461,0.00018310546875,0.8,0.3,0.02,2,3,316,1.0,1.0,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 316, 'reg_lambda': 1.0, 'subsample': 1.0}",0.5524391787549683,0.7268918170103942,0.6396654978826812,0.08722631912771295,18
0.026379823684692383,0.0014629364013671875,0.0014384984970092773,6.949901580810547e-05,1.0,0.0,0.1,2,1,257,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 257, 'reg_lambda': 1.0, 'subsample': 0.6}",0.5112956001113895,0.8278761642398007,0.6695858821755951,0.1582902820642056,2
