,0
treasury_spread_lag6,0.21027120947464795
treasury_spread_lag3,0.1486651410644519
treasury_spread_lag12,0.11914251593562233
unrate_lag12,0.10772507721942623
unrate_lag6,0.07173712658091888
unrate_lag3,0.05918062874141078
unrate_d12,0.047599102038488966
housing_yoy,0.03694368122558282
housing_lag3,0.03310056461329768
indpro_lag6,0.025922303619360137
cpi_yoy,0.025711459743796614
indpro_yoy,0.025302165711872614
indpro_lag3,0.01965323031588788
housing_lag6,0.017774464726564482
indpro_lag12,0.010403273161383172
cpi_lag12,0.007165530190622707
cpi_lag3,0.0053860037291890706
treasury_spread_d1,0.004881833685769011
cpi_lag6,0.004312180828172042
sentiment_yoy,0.004074842322359632
treasury_spread_d12,0.003775369232759328
indpro_m1,0.0031123597093241613
cpi_m1,0.0025063065792915915
housing_lag12,0.001805811456919197
sentiment_lag12,0.0011103683052139314
sentiment_lag3,0.0008843645119785218
sentiment_lag6,0.0008308882076228792
sentiment_m1,0.000781090490145453
housing_m1,0.00024110657792010076
unrate_d1,5.0172816013255985e-17
