mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.6254595518112183,0.04519450664520264,0.06557202339172363,0.0,True,6,sqrt,15,9,1344,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 9, 'n_estimators': 1344}",0.7057158890492223,0.7497402597402598,0.7277280743947411,0.022012185345518742,11
0.5789234638214111,0.008899688720703125,0.03531050682067871,0.005945682525634766,True,5,,11,12,387,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 12, 'n_estimators': 387}",0.5785393618726951,0.6824905041482582,0.6305149330104767,0.05197557113778156,41
0.8894145488739014,0.007469654083251953,0.03977537155151367,0.0009477138519287109,True,6,,22,3,643,"{'bootstrap': True, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 22, 'min_samples_split': 3, 'n_estimators': 643}",0.7389881723215057,0.3839765841313829,0.5614823782264443,0.1775057940950614,49
0.5696319341659546,0.061618924140930176,0.052439093589782715,0.0008569955825805664,False,8,log2,21,34,759,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 21, 'min_samples_split': 34, 'n_estimators': 759}",0.6684003780495009,0.6937480303859614,0.6810742042177311,0.012673826168230262,33
0.9868038892745972,0.05383193492889404,0.148421049118042,0.06838798522949219,False,8,sqrt,25,28,1382,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 25, 'min_samples_split': 28, 'n_estimators': 1382}",0.7112103945437278,0.69353351178909,0.7023719531664089,0.008838441377318929,23
1.3993974924087524,0.043439507484436035,0.05095803737640381,0.0009969472885131836,True,5,,3,38,946,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 38, 'n_estimators': 946}",0.4926888981713543,0.3962469118428871,0.4444679050071207,0.048220993164233616,59
1.4958242177963257,0.002328038215637207,0.05405247211456299,0.0010885000228881836,True,11,,18,5,900,"{'bootstrap': True, 'max_depth': 11, 'max_features': None, 'min_samples_leaf': 18, 'min_samples_split': 5, 'n_estimators': 900}",0.7389881723215057,0.3509048975353556,0.5449465349284306,0.19404163739307506,53
0.6135954856872559,0.007972478866577148,0.057240962982177734,0.0003249645233154297,False,4,log2,9,27,864,"{'bootstrap': False, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 27, 'n_estimators': 864}",0.7334936668270002,0.7269660329221459,0.7302298498745731,0.0032638169524271676,10
0.29586684703826904,0.021217942237854004,0.10094356536865234,0.036928415298461914,False,6,,7,9,334,"{'bootstrap': False, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 334}",0.6125925925925926,0.390995670995671,0.5017941317941318,0.11079846079846078,57
1.035929560661316,0.027109503746032715,0.10403430461883545,0.03626143932342529,False,3,log2,4,3,1321,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 1321}",0.6994708994708994,0.7285954785954787,0.714033189033189,0.014562289562289665,15
0.8117595911026001,0.02811872959136963,0.06497800350189209,0.0029500722885131836,False,8,log2,4,30,1002,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 30, 'n_estimators': 1002}",0.6433723196881092,0.728201109235592,0.6857867144618506,0.042414394773741426,30
0.7726221084594727,0.016791105270385742,0.0703505277633667,0.009529471397399902,False,4,log2,36,15,1115,"{'bootstrap': False, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 36, 'min_samples_split': 15, 'n_estimators': 1115}",0.7788470788470789,0.7152345970527789,0.7470408379499289,0.03180624089715001,7
1.2115271091461182,0.024538040161132812,0.05968582630157471,0.007064938545227051,True,10,log2,23,22,1019,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 23, 'min_samples_split': 22, 'n_estimators': 1019}",0.7850861556743909,0.7487799223174718,0.7669330389959313,0.018153116678459535,6
0.7499474287033081,0.1279376745223999,0.04242897033691406,0.0007090568542480469,True,4,,24,27,516,"{'bootstrap': True, 'max_depth': 4, 'max_features': None, 'min_samples_leaf': 24, 'min_samples_split': 27, 'n_estimators': 516}",0.7389881723215057,0.3899774838164931,0.5644828280689994,0.1745053442525063,48
0.6724735498428345,0.060872435569763184,0.050774455070495605,0.004267334938049316,False,11,sqrt,15,2,820,"{'bootstrap': False, 'max_depth': 11, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 820}",0.6433723196881092,0.741725515863447,0.6925489177757781,0.049176598087668943,28
0.5767999887466431,0.024774909019470215,0.043408989906311035,0.001587986946105957,False,3,,11,18,691,"{'bootstrap': False, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 18, 'n_estimators': 691}",0.6496296296296296,0.44467532467532467,0.5471524771524772,0.10247715247715244,51
0.5443384647369385,0.023120641708374023,0.03128504753112793,0.00011706352233886719,True,5,sqrt,5,29,434,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 29, 'n_estimators': 434}",0.615432098765432,0.7276623376623376,0.6715472182138849,0.056115119448452766,35
2.4350115060806274,0.10069048404693604,0.09991645812988281,0.009042501449584961,True,10,log2,33,24,1897,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 33, 'min_samples_split': 24, 'n_estimators': 1897}",0.8596560846560848,0.750311557129739,0.8049838208929119,0.05467226376317291,2
1.9337071180343628,0.16667592525482178,0.09722745418548584,0.004085421562194824,False,7,,22,28,1870,"{'bootstrap': False, 'max_depth': 7, 'max_features': None, 'min_samples_leaf': 22, 'min_samples_split': 28, 'n_estimators': 1870}",0.6923076923076923,0.4081818181818182,0.5502447552447552,0.14206293706293704,50
1.5650465488433838,0.03135943412780762,0.0666884183883667,0.0008352994918823242,True,5,sqrt,14,4,1328,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 14, 'min_samples_split': 4, 'n_estimators': 1328}",0.6390432098765433,0.7552499016135381,0.6971465557450407,0.058103345868497414,27
0.6800093650817871,0.059403419494628906,0.05528414249420166,0.007843852043151855,False,9,,14,28,692,"{'bootstrap': False, 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 14, 'min_samples_split': 28, 'n_estimators': 692}",0.6923076923076923,0.44467532467532467,0.5684915084915085,0.12381618381618381,46
1.0444533824920654,0.025089502334594727,0.04788696765899658,0.006924033164978027,True,5,,32,33,784,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 32, 'min_samples_split': 33, 'n_estimators': 784}",0.8610500610500611,0.3913627652017745,0.6262064131259177,0.2348436479241433,43
1.6743013858795166,0.021642446517944336,0.07277500629425049,0.00672304630279541,True,9,sqrt,15,30,1359,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 30, 'n_estimators': 1359}",0.7057158890492223,0.7497402597402598,0.7277280743947411,0.022012185345518742,11
1.308645486831665,0.1300053596496582,0.05579710006713867,0.0017390251159667969,True,9,,22,29,877,"{'bootstrap': True, 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 22, 'min_samples_split': 29, 'n_estimators': 877}",0.7389881723215057,0.35050613301387296,0.5447471526676894,0.19424101965381638,54
1.0589847564697266,0.10432815551757812,0.08511209487915039,0.0061571598052978516,False,11,sqrt,6,29,1351,"{'bootstrap': False, 'max_depth': 11, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 29, 'n_estimators': 1351}",0.6433723196881092,0.7226407604934252,0.6830065400907672,0.039634220402658016,32
1.4929779767990112,0.09349310398101807,0.0955355167388916,0.0003254413604736328,False,6,log2,11,29,1796,"{'bootstrap': False, 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 29, 'n_estimators': 1796}",0.6433723196881092,0.7320442880004009,0.6877083038442551,0.04433598415614587,29
1.8637850284576416,0.030250072479248047,0.07913243770599365,0.003974556922912598,True,3,sqrt,27,14,1582,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 27, 'min_samples_split': 14, 'n_estimators': 1582}",0.8582722832722833,0.7520000421186193,0.8051361626954513,0.053136120576832035,1
2.0756654739379883,0.06433749198913574,0.09467005729675293,0.003922939300537109,True,8,,9,38,1548,"{'bootstrap': True, 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 38, 'n_estimators': 1548}",0.5277116402116402,0.40723176032773556,0.4674717002696879,0.060239939941952314,58
2.324333906173706,0.002643108367919922,0.13507390022277832,0.04500102996826172,True,10,,32,33,1795,"{'bootstrap': True, 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 32, 'min_samples_split': 33, 'n_estimators': 1795}",0.8696920363587031,0.500379810061463,0.6850359232100831,0.18465611314862002,31
2.0232588052749634,0.0878530740737915,0.11931765079498291,0.02102839946746826,True,6,sqrt,12,3,1710,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 3, 'n_estimators': 1710}",0.5446795092305928,0.7618115218115218,0.6532455155210573,0.10856600629046448,39
1.1699450016021729,0.20081806182861328,0.07539856433868408,0.021369338035583496,True,7,sqrt,17,3,941,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 3, 'n_estimators': 941}",0.6741733575066908,0.7497402597402598,0.7119568086234753,0.037783451116784494,16
1.3113569021224976,0.08762705326080322,0.0898975133895874,0.0026875734329223633,False,8,,37,33,1548,"{'bootstrap': False, 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 37, 'min_samples_split': 33, 'n_estimators': 1548}",0.18,0.4081818181818182,0.29409090909090907,0.1140909090909091,60
2.7433263063430786,0.1253114938735962,0.12180769443511963,0.0036994218826293945,True,5,log2,2,27,1995,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 27, 'n_estimators': 1995}",0.6089233841684822,0.7284115884115885,0.6686674862900354,0.05974410212155312,36
1.0252223014831543,0.1194765567779541,0.05840647220611572,0.004135489463806152,False,9,,11,18,1066,"{'bootstrap': False, 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 18, 'n_estimators': 1066}",0.6496296296296296,0.44467532467532467,0.5471524771524772,0.10247715247715244,51
1.0445544719696045,0.08724641799926758,0.08208012580871582,0.0031609535217285156,False,10,sqrt,34,7,1281,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 34, 'min_samples_split': 7, 'n_estimators': 1281}",0.7112103945437278,0.701593314093314,0.7064018543185209,0.004808540225206881,21
2.0712894201278687,0.1088336706161499,0.10933470726013184,0.004328727722167969,True,3,sqrt,6,17,1672,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 17, 'n_estimators': 1672}",0.5486059238510219,0.7698963662600027,0.6592511450555123,0.11064522120449038,38
2.358433485031128,0.1737833023071289,0.09057557582855225,0.0015465021133422852,True,6,,36,20,1669,"{'bootstrap': True, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 36, 'min_samples_split': 20, 'n_estimators': 1669}",0.9083333333333334,0.54641397588766,0.7273736546104967,0.1809596787228367,13
1.7243034839630127,0.07220649719238281,0.06595098972320557,0.0016120672225952148,True,5,,33,19,1171,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 33, 'min_samples_split': 19, 'n_estimators': 1171}",0.8539793539793541,0.38362308272212947,0.6188012183507418,0.2351781356286123,44
2.032576560974121,0.017743349075317383,0.08983302116394043,0.0009768009185791016,True,11,sqrt,23,32,1621,"{'bootstrap': True, 'max_depth': 11, 'max_features': 'sqrt', 'min_samples_leaf': 23, 'min_samples_split': 32, 'n_estimators': 1621}",0.78995818995819,0.7450782550782551,0.7675182225182225,0.022439967439967456,5
2.1659107208251953,0.11835646629333496,0.09300732612609863,0.000789642333984375,True,9,log2,2,2,1627,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1627}",0.47631736455265866,0.7833884297520661,0.6298528971523624,0.15353553259970373,42
1.3010510206222534,0.019538044929504395,0.08988702297210693,0.0004621744155883789,False,7,sqrt,32,10,1556,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 10, 'n_estimators': 1556}",0.7112103945437278,0.7088985088985089,0.7100544517211184,0.001155942822609446,19
0.43695735931396484,0.007516622543334961,0.05636107921600342,0.022130131721496582,True,5,,20,25,353,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 25, 'n_estimators': 353}",0.6936458603125271,0.3839765841313829,0.538811222221955,0.15483463809057207,56
1.7401275634765625,0.10969233512878418,0.0964655876159668,0.004976511001586914,False,3,,8,37,1745,"{'bootstrap': False, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 37, 'n_estimators': 1745}",0.6923076923076923,0.44467532467532467,0.5684915084915085,0.12381618381618381,46
0.30725181102752686,0.05566203594207764,0.05565965175628662,0.026114583015441895,False,6,log2,35,26,398,"{'bootstrap': False, 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 35, 'min_samples_split': 26, 'n_estimators': 398}",0.6745923285138973,0.743989870472084,0.7092910994929906,0.03469877097909335,20
1.4415653944015503,0.044559597969055176,0.06597793102264404,0.0031319856643676758,True,4,log2,18,3,1121,"{'bootstrap': True, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 3, 'n_estimators': 1121}",0.7520121853455186,0.736961371961372,0.7444867786534453,0.0075254066920733,8
0.8737794160842896,0.02921760082244873,0.04710972309112549,0.004874587059020996,True,11,sqrt,4,34,697,"{'bootstrap': True, 'max_depth': 11, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 34, 'n_estimators': 697}",0.5631445170660857,0.7377730602730602,0.650458788669573,0.08731427160348726,40
1.4405890703201294,0.010214924812316895,0.07318532466888428,0.020117640495300293,True,6,,3,18,939,"{'bootstrap': True, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 939}",0.4860751415575977,0.7067755476846387,0.5964253446211182,0.1103502030635205,45
0.47583937644958496,0.03371548652648926,0.05012333393096924,0.014684557914733887,True,5,log2,22,31,337,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 22, 'min_samples_split': 31, 'n_estimators': 337}",0.6773229369720597,0.7621716886539022,0.719747312812981,0.042424375840921236,14
0.20889174938201904,0.012125372886657715,0.03029191493988037,0.004332184791564941,False,5,log2,8,28,326,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 28, 'n_estimators': 326}",0.7389881723215057,0.7215525215525216,0.7302703469370136,0.008717825384492062,9
0.8427461385726929,0.05768001079559326,0.09237277507781982,0.011001944541931152,False,7,log2,33,29,1178,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 33, 'min_samples_split': 29, 'n_estimators': 1178}",0.7213684463684464,0.7006158824340643,0.7109921644012553,0.010376281967191092,18
0.6282554864883423,0.01032865047454834,0.053238511085510254,0.002495408058166504,False,3,sqrt,19,5,846,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 5, 'n_estimators': 846}",0.6433723196881092,0.7024481265860577,0.6729102231370834,0.02953790344897428,34
0.508683443069458,0.020429372787475586,0.044946908950805664,0.003077983856201172,False,3,sqrt,28,31,776,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 28, 'min_samples_split': 31, 'n_estimators': 776}",0.7173832340499007,0.6884522884522886,0.7029177612510946,0.014465472798806056,22
0.3626875877380371,0.02428436279296875,0.04747200012207031,0.01497507095336914,False,7,log2,35,38,579,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 35, 'min_samples_split': 38, 'n_estimators': 579}",0.7242344075677409,0.6992172810354628,0.7117258443016019,0.012508563266139083,17
1.1729702949523926,0.0008494853973388672,0.056191205978393555,0.001981973648071289,True,3,log2,31,36,999,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 31, 'min_samples_split': 36, 'n_estimators': 999}",0.8554894179894181,0.7278772920484151,0.7916833550189166,0.06380606297050151,3
1.6679260730743408,0.006394863128662109,0.059622764587402344,0.005126953125,True,6,,21,33,1484,"{'bootstrap': True, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 21, 'min_samples_split': 33, 'n_estimators': 1484}",0.7389881723215057,0.35050613301387296,0.5447471526676894,0.19424101965381638,54
0.6066616773605347,0.028778433799743652,0.13444924354553223,0.034122467041015625,False,5,log2,25,32,865,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 25, 'min_samples_split': 32, 'n_estimators': 865}",0.7057158890492223,0.6932937432937434,0.6995048161714829,0.006211072877739476,26
0.8130223751068115,0.03728747367858887,0.06521213054656982,0.004694819450378418,False,5,log2,24,33,1153,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 24, 'min_samples_split': 33, 'n_estimators': 1153}",0.7112103945437278,0.6892977392977393,0.7002540669207336,0.010956327622994255,25
1.247685194015503,0.010939836502075195,0.05311000347137451,4.017353057861328e-05,True,4,,27,3,1084,"{'bootstrap': True, 'max_depth': 4, 'max_features': None, 'min_samples_leaf': 27, 'min_samples_split': 3, 'n_estimators': 1084}",0.8262626262626263,0.501941297728691,0.6641019619956586,0.16216066426696762,37
0.76915442943573,0.025232434272766113,0.06141471862792969,0.0051746368408203125,False,3,sqrt,39,30,1058,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 39, 'min_samples_split': 30, 'n_estimators': 1058}",0.8582722832722833,0.7050024050024051,0.7816373441373442,0.07663493913493913,4
0.4517160654067993,0.005876898765563965,0.04019641876220703,0.0008385181427001953,False,5,log2,25,25,824,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 25, 'min_samples_split': 25, 'n_estimators': 824}",0.7057158890492223,0.695911495911496,0.7008136924803592,0.004902196568863149,24
