mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.008627057075500488,0.0008319616317749023,0.002066493034362793,0.0007835626602172852,0.03148911647956861,{'clf__C': np.float64(0.03148911647956861)},0.8253086419753086,0.8190517815517816,0.822180211763545,0.003128430211763511,27
0.006461501121520996,7.665157318115234e-05,0.001096963882446289,2.1457672119140625e-06,6.351221010640703,{'clf__C': np.float64(6.351221010640703)},0.5780868913221855,0.9153485403485404,0.746717715835363,0.16863082451317746,56
0.006392240524291992,0.0008435249328613281,0.0011911392211914062,2.09808349609375e-05,0.8471801418819978,{'clf__C': np.float64(0.8471801418819978)},0.6873117136275031,0.8589173452809817,0.7731145294542424,0.08580281582673932,50
0.011709928512573242,0.006145000457763672,0.0020946264266967773,0.0009816884994506836,0.24810409748678125,{'clf__C': np.float64(0.24810409748678125)},0.7757954463836818,0.8059425423061787,0.7908689943449303,0.015073547961248435,40
0.009091496467590332,0.0007065534591674805,0.00150299072265625,9.298324584960938e-05,0.004207988669606638,{'clf__C': np.float64(0.004207988669606638)},0.8062982768865123,0.8804388726637531,0.8433685747751327,0.037070297888620374,7
0.005700469017028809,5.364418029785156e-06,0.0011769533157348633,6.496906280517578e-05,0.004207053950287938,{'clf__C': np.float64(0.004207053950287938)},0.8062982768865123,0.8804388726637531,0.8433685747751327,0.037070297888620374,7
0.003062605857849121,0.00041854381561279297,0.0017914772033691406,0.00081634521484375,0.0017073967431528124,{'clf__C': np.float64(0.0017073967431528124)},0.7724867724867726,0.8878768891926787,0.8301818308397256,0.05769505835295308,21
0.00400853157043457,0.0004715919494628906,0.001071929931640625,7.510185241699219e-05,2.9154431891537547,{'clf__C': np.float64(2.9154431891537547)},0.6294810209283894,0.8942807192807194,0.7618808701045544,0.13239984917616499,51
0.0051000118255615234,0.002354145050048828,0.0010749101638793945,0.00013196468353271484,0.2537815508265665,{'clf__C': np.float64(0.2537815508265665)},0.7757954463836818,0.8059425423061787,0.7908689943449303,0.015073547961248435,40
0.004382491111755371,0.001254439353942871,0.0018389225006103516,0.0008749961853027344,0.679657809075816,{'clf__C': np.float64(0.679657809075816)},0.7448653198653199,0.8589173452809817,0.8018913325731508,0.05702601270783092,36
0.004213929176330566,0.0016759634017944336,0.001987457275390625,0.0010216236114501953,0.0012087541473056963,{'clf__C': np.float64(0.0012087541473056963)},0.7654160654160655,0.8908008658008659,0.8281084656084657,0.06269240019240019,23
0.007976055145263672,0.0005500316619873047,0.001951456069946289,0.0002636909484863281,7.579479953348009,{'clf__C': np.float64(7.579479953348009)},0.5738781371134313,0.9153485403485404,0.7446133387309859,0.17073520161755457,58
0.004491090774536133,0.0005929470062255859,0.00102996826171875,2.193450927734375e-05,2.1368329072358767,{'clf__C': np.float64(2.1368329072358767)},0.6668023334690001,0.8942807192807194,0.7805415263748597,0.11373919290585965,46
0.0045316219329833984,0.0011403560638427734,0.0017619132995605469,0.0007519721984863281,0.0070689749506246055,{'clf__C': np.float64(0.0070689749506246055)},0.8281625781625783,0.8572065494314299,0.8426845637970042,0.014521985634425805,9
0.004031181335449219,0.0016999244689941406,0.0018123388290405273,0.0009294748306274414,0.005337032762603957,{'clf__C': np.float64(0.005337032762603957)},0.8192340067340067,0.8804388726637531,0.8498364396988799,0.030602432964873194,1
0.0033004283905029297,0.00027751922607421875,0.001006007194519043,5.3048133850097656e-05,0.00541524411940254,{'clf__C': np.float64(0.00541524411940254)},0.8192340067340067,0.8804388726637531,0.8498364396988799,0.030602432964873194,1
0.0029360055923461914,4.398822784423828e-05,0.0009748935699462891,9.059906005859375e-06,0.016480446427978974,{'clf__C': np.float64(0.016480446427978974)},0.8368045534712203,0.8481601731601732,0.8424823633156968,0.005677809844476467,10
0.0027654170989990234,1.6450881958007812e-05,0.0009773969650268555,1.5497207641601562e-06,0.12561043700013558,{'clf__C': np.float64(0.12561043700013558)},0.8123847829730184,0.7915486029122393,0.8019666929426288,0.01041809003038957,32
0.002583026885986328,7.009506225585938e-05,0.0009614229202270508,4.1365623474121094e-05,0.05342937261279776,{'clf__C': np.float64(0.05342937261279776)},0.821141975308642,0.8031551781551781,0.8121485767319101,0.008993398576731926,29
0.002599358558654785,0.00019156932830810547,0.0009864568710327148,1.5497207641601562e-06,0.014618962793704957,{'clf__C': np.float64(0.014618962793704957)},0.8368045534712203,0.8481601731601732,0.8424823633156968,0.005677809844476467,10
0.003108501434326172,0.00030159950256347656,0.0009888410568237305,3.898143768310547e-05,0.2801635158716261,{'clf__C': np.float64(0.2801635158716261)},0.7616013071895424,0.8059425423061787,0.7837719247478605,0.022170617558318118,45
0.002497076988220215,2.8014183044433594e-05,0.0009630918502807617,5.4955482482910156e-05,0.003613894271216527,{'clf__C': np.float64(0.003613894271216527)},0.7930707636589991,0.8804388726637531,0.8367548181613761,0.043684054502377,15
0.0026755332946777344,0.0003075599670410156,0.0010123252868652344,0.0001125335693359375,0.01474275315991467,{'clf__C': np.float64(0.01474275315991467)},0.8368045534712203,0.8481601731601732,0.8424823633156968,0.005677809844476467,10
0.002711653709411621,2.2530555725097656e-05,0.0009949207305908203,4.100799560546875e-05,0.029204338471814112,{'clf__C': np.float64(0.029204338471814112)},0.8253086419753086,0.8153753109635463,0.8203419764694275,0.0049666655058811515,28
0.0027729272842407227,1.609325408935547e-05,0.0010135173797607422,5.269050598144531e-05,0.06672367170464207,{'clf__C': np.float64(0.06672367170464207)},0.8017528223410577,0.7915486029122393,0.7966507126266484,0.00510210971440922,37
