mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_pca__n_components,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.003207087516784668,4.494190216064453e-05,0.0009300708770751953,0.0,0.4467752817973907,0.8,"{'clf__C': np.float64(0.4467752817973907), 'pca__n_components': 0.8}",0.8180075609900173,0.7687590187590189,0.7933832898745181,0.024624271115499197,34
0.002928018569946289,0.00016498565673828125,0.0009208917617797852,3.3020973205566406e-05,0.050190728339613175,0.8,"{'clf__C': np.float64(0.050190728339613175), 'pca__n_components': 0.8}",0.8301366843033511,0.8473470973470973,0.8387418908252242,0.008605206521873132,23
0.003375411033630371,0.0007604360580444336,0.0009654760360717773,7.855892181396484e-05,0.1537592023548176,0.8,"{'clf__C': np.float64(0.1537592023548176), 'pca__n_components': 0.8}",0.8301366843033511,0.7743367743367743,0.8022367293200627,0.0278999549832884,32
0.0027419328689575195,0.00037300586700439453,0.0010279417037963867,8.499622344970703e-05,0.0013342990285187936,0.8,"{'clf__C': np.float64(0.0013342990285187936), 'pca__n_components': 0.8}",0.7757547463429817,0.9062409812409813,0.8409978637919815,0.0652431174489998,19
0.0030149221420288086,8.118152618408203e-05,0.0009919404983520508,4.088878631591797e-05,1.2604664585649468,0.8,"{'clf__C': np.float64(1.2604664585649468), 'pca__n_components': 0.8}",0.8067340067340067,0.7569026932663298,0.7818183500001683,0.024915656733838495,42
0.0026923418045043945,4.661083221435547e-05,0.0009456872940063477,9.417533874511719e-06,0.03807158379249393,0.95,"{'clf__C': np.float64(0.03807158379249393), 'pca__n_components': 0.95}",0.8671075837742506,0.8271325896325896,0.8471200867034201,0.019987497070830473,5
0.0029371976852416992,2.7060508728027344e-05,0.0010218620300292969,4.506111145019531e-05,0.24637685958997463,0.95,"{'clf__C': np.float64(0.24637685958997463), 'pca__n_components': 0.95}",0.8907627865961201,0.8031551781551781,0.8469589823756491,0.04380380422047098,9
0.0024765729904174805,2.4437904357910156e-05,0.0009324550628662109,1.33514404296875e-05,0.02023778954048508,0.8,"{'clf__C': np.float64(0.02023778954048508), 'pca__n_components': 0.8}",0.8244386786053455,0.8805656464747373,0.8525021625400414,0.028063483934695932,4
0.002744317054748535,9.453296661376953e-05,0.0013450384140014648,0.00038301944732666016,0.006080390190296602,0.7,"{'clf__C': np.float64(0.006080390190296602), 'pca__n_components': 0.7}",0.5929621848739496,0.9014249639249639,0.7471935743994567,0.15423138952550713,47
0.0028945207595825195,1.633167266845703e-05,0.0008999109268188477,3.933906555175781e-06,6.993395623207715,0.7,"{'clf__C': np.float64(6.993395623207715), 'pca__n_components': 0.7}",0.5998054213633923,0.7677252040888404,0.6837653127261163,0.08395989136272403,59
0.0028715133666992188,5.459785461425781e-05,0.0009340047836303711,1.704692840576172e-05,0.03586816498627549,0.8,"{'clf__C': np.float64(0.03586816498627549), 'pca__n_components': 0.8}",0.8301366843033511,0.8473470973470973,0.8387418908252242,0.008605206521873132,23
0.002679586410522461,4.76837158203125e-05,0.0009084939956665039,3.4570693969726562e-06,0.1441346937111033,0.95,"{'clf__C': np.float64(0.1441346937111033), 'pca__n_components': 0.95}",0.8949294532627867,0.7965436079072442,0.8457365305850155,0.049192922677771256,13
0.0030815601348876953,0.0004665851593017578,0.0012139081954956055,0.00016891956329345703,0.026730883107816707,0.95,"{'clf__C': np.float64(0.026730883107816707), 'pca__n_components': 0.95}",0.8671075837742506,0.800473137973138,0.8337903608736943,0.033317222900556276,26
0.0029238462448120117,0.0001329183578491211,0.0011241436004638672,0.00013589859008789062,0.26800135558226984,0.7,"{'clf__C': np.float64(0.26800135558226984), 'pca__n_components': 0.7}",0.6355197070776781,0.8304957668594033,0.7330077369685407,0.09748802989086258,52
0.0030791759490966797,0.00035500526428222656,0.002076864242553711,0.0011448860168457031,0.0036618192203924276,0.9,"{'clf__C': np.float64(0.0036618192203924276), 'pca__n_components': 0.9}",0.7806387512269866,0.8635196807445612,0.8220792159857739,0.04144046475878732,31
0.002652883529663086,8.606910705566406e-05,0.0009969472885131836,3.933906555175781e-06,0.004582133690843357,0.7,"{'clf__C': np.float64(0.004582133690843357), 'pca__n_components': 0.7}",0.595343137254902,0.9014249639249639,0.7483840505899328,0.15304091333503095,46
0.0036199092864990234,6.008148193359375e-05,0.0010880231857299805,0.00012624263763427734,8.862326508576253,0.95,"{'clf__C': np.float64(8.862326508576253), 'pca__n_components': 0.95}",0.7878167641325537,0.9063065722156631,0.8470616681741084,0.05924490404155469,7
0.002498030662536621,2.086162567138672e-05,0.0010089874267578125,5.888938903808594e-05,0.03797747379173691,0.95,"{'clf__C': np.float64(0.03797747379173691), 'pca__n_components': 0.95}",0.8671075837742506,0.8271325896325896,0.8471200867034201,0.019987497070830473,5
0.0025784969329833984,0.0001544952392578125,0.0010155439376831055,8.463859558105469e-06,0.0010521761868451127,0.9,"{'clf__C': np.float64(0.0010521761868451127), 'pca__n_components': 0.9}",0.7686840392722747,0.8878768891926787,0.8282804642324767,0.05959642496020201,28
0.0034813880920410156,0.0010614395141601562,0.0017163753509521484,0.0006415843963623047,0.006242659053860572,0.95,"{'clf__C': np.float64(0.006242659053860572), 'pca__n_components': 0.95}",0.8503848003848005,0.8324295587453483,0.8414071795650744,0.008977620819726084,15
0.0040435791015625,0.001279592514038086,0.0010418891906738281,1.4066696166992188e-05,0.8241925264876453,0.7,"{'clf__C': np.float64(0.8241925264876453), 'pca__n_components': 0.7}",0.6159935632868285,0.7840770340770341,0.7000352986819314,0.08404173539510279,58
0.0026398897171020508,9.500980377197266e-05,0.0013165473937988281,0.00025844573974609375,0.2653627132902634,0.8,"{'clf__C': np.float64(0.2653627132902634), 'pca__n_components': 0.8}",0.8109719982269004,0.7566378066378067,0.7838049024323535,0.027167095794546847,40
0.005002498626708984,0.0017745494842529297,0.002013087272644043,0.001017928123474121,0.02715581955282941,0.7,"{'clf__C': np.float64(0.02715581955282941), 'pca__n_components': 0.7}",0.5986071027737694,0.8689574314574315,0.7337822671156005,0.13517516434183108,50
0.003000974655151367,8.20159912109375e-05,0.001046895980834961,8.893013000488281e-05,4.569184576834548,0.7,"{'clf__C': np.float64(4.569184576834548), 'pca__n_components': 0.7}",0.5979938271604939,0.7677252040888404,0.6828595156246671,0.08486568846417325,60
0.004709959030151367,0.0017769336700439453,0.0010788440704345703,8.106231689453125e-05,0.3113095956122124,0.8,"{'clf__C': np.float64(0.3113095956122124), 'pca__n_components': 0.8}",0.804780047762504,0.7566378066378067,0.7807089272001553,0.02407112056234867,44
0.0026017427444458008,2.753734588623047e-05,0.0012978315353393555,7.092952728271484e-05,0.002407911195464457,0.9,"{'clf__C': np.float64(0.002407911195464457), 'pca__n_components': 0.9}",0.7678182384064738,0.8804388726637531,0.8241285555351134,0.05631031712863965,30
0.0036869049072265625,0.0008540153503417969,0.0009235143661499023,3.325939178466797e-05,0.017535949529764425,0.95,"{'clf__C': np.float64(0.017535949529764425), 'pca__n_components': 0.95}",0.8671075837742506,0.8148891512527876,0.8409983675135191,0.026109216260731483,18
0.002825021743774414,1.5974044799804688e-05,0.0008569955825805664,7.987022399902344e-06,0.4609877941534894,0.95,"{'clf__C': np.float64(0.4609877941534894), 'pca__n_components': 0.95}",0.8808862433862434,0.8308181717272627,0.8558522075567531,0.025034035829490375,1
0.0034579038619995117,4.8995018005371094e-05,0.0012750625610351562,0.00021314620971679688,0.35500125258511606,0.9,"{'clf__C': np.float64(0.35500125258511606), 'pca__n_components': 0.9}",0.7132922632922634,0.7678311587402497,0.7405617110162566,0.027269447723993145,49
0.0027434825897216797,7.152557373046875e-05,0.0011125802993774414,0.0002275705337524414,0.17578171745893567,0.9,"{'clf__C': np.float64(0.17578171745893567), 'pca__n_components': 0.9}",0.7686118892001246,0.7981601731601732,0.7833860311801488,0.0147741419800243,41
